response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
1,18 - 29,Female,4,"eBay, Poshmark, and other online-shopping platforms;Facebook Marketplace, Craigslist, OfferUp, and those that can meet up in-person;Goodwills and other local thrift stores",Clothing and Apparel;Electronics;Books;Fashionable Accessories,"Taking photos, uploading them sequentially, writing descriptions, and repeating this tedious process",Families looking items for children;Sustainability-focused people who are eco-friendly;Students who enjoy thrifting;Work professionals need to clear out unwanted items,3,"I like how i’m able to get stuff for much cheaper, buying used items feels very easy. Sometimes selling used items feels like more of a hassle because of the process of needing to take pics, sometimes get verified, etc. so I buy a lot of used things but don’t sell things (though I definitely have things to sell).","good idea with the survey :) -maheen, TA"
2,18 - 29,Male,3,"eBay, Poshmark, and other online-shopping platforms;Facebook Marketplace, Craigslist, OfferUp, and those that can meet up in-person;Goodwills and other local thrift stores","Clothing and Apparel;Electronics;Books;Home Appliances;Furnitures;Collectibles;Games and Toys;Fashionable Accessories;Sports Gears;vehicles, bikes, and other transports","Taking photos, uploading them sequentially, writing descriptions, and repeating this tedious process;Paying extra fees such as shipping fees, seller fees, and sales tax;Disappointing experiences such as spam listings, fake items, non-delivery, or deliveryof wrong items",Students who enjoy thrifting,3,Authenticity,
3,18 - 29,Male,2,"Facebook Marketplace, Craigslist, OfferUp, and those that can meet up in-person","Clothing and Apparel;Electronics;Books;Home Appliances;Furnitures;Collectibles;Games and Toys;Fashionable Accessories;Sports Gears;vehicles, bikes, and other transports","Disappointing experiences such as spam listings, fake items, non-delivery, or deliveryof wrong items",Families looking items for children;Collectors seeking valuable exchanges,2,Quality of used items,
4,18 - 29,Female,1,"Facebook Marketplace, Craigslist, OfferUp, and those that can meet up in-person;Goodwills and other local thrift stores",Clothing and Apparel;Books;Furnitures;Collectibles;Fashionable Accessories,"Paying extra fees such as shipping fees, seller fees, and sales tax;Disappointing experiences such as spam listings, fake items, non-delivery, or deliveryof wrong items",Collectors seeking valuable exchanges;Students who enjoy thrifting,4,N/A,
5,18 - 29,Male,2,"eBay, Poshmark, and other online-shopping platforms","Clothing and Apparel;Electronics;Sports Gears;vehicles, bikes, and other transports","Taking photos, uploading them sequentially, writing descriptions, and repeating this tedious process",Students who enjoy thrifting,5,suhas test,
6,18 - 29,Female,5,"eBay, Poshmark, and other online-shopping platforms;Facebook Marketplace, Craigslist, OfferUp, and those that can meet up in-person;Goodwills and other local thrift stores",Clothing and Apparel;Books;Furnitures;Games and Toys,"Taking photos, uploading them sequentially, writing descriptions, and repeating this tedious process;Disappointing experiences such as spam listings, fake items, non-delivery, or deliveryof wrong items",Families looking items for children;Sustainability-focused people who are eco-friendly,3,The authenticity,
7,18 - 29,Female,4,"Facebook Marketplace, Craigslist, OfferUp, and those that can meet up in-person;Goodwills and other local thrift stores",Clothing and Apparel;Electronics;Furnitures,"Taking photos, uploading them sequentially, writing descriptions, and repeating this tedious process;Paying extra fees such as shipping fees, seller fees, and sales tax;Disappointing experiences such as spam listings, fake items, non-delivery, or deliveryof wrong items",Families looking items for children;Students who enjoy thrifting,3,I mostly have sold clothing to thrift stores and bought from thrifts.,
8,18 - 29,Male,4,"Facebook Marketplace, Craigslist, OfferUp, and those that can meet up in-person;Goodwills and other local thrift stores",Clothing and Apparel;Electronics;Furnitures;Games and Toys;Fashionable Accessories,"Paying extra fees such as shipping fees, seller fees, and sales tax;Disappointing experiences such as spam listings, fake items, non-delivery, or deliveryof wrong items",Students who enjoy thrifting;Work professionals need to clear out unwanted items,5,N/a,
9,18 - 29,Female,1,"eBay, Poshmark, and other online-shopping platforms;Facebook Marketplace, Craigslist, OfferUp, and those that can meet up in-person",Clothing and Apparel;Books,"Paying extra fees such as shipping fees, seller fees, and sales tax;Disappointing experiences such as spam listings, fake items, non-delivery, or deliveryof wrong items",Families looking items for children;Students who enjoy thrifting;Work professionals need to clear out unwanted items,2,It’s hard to do on certain apps because you need to pay extra fee to even sell.,
10,18 - 29,Female,3,"eBay, Poshmark, and other online-shopping platforms;Facebook Marketplace, Craigslist, OfferUp, and those that can meet up in-person;Goodwills and other local thrift stores","Clothing and Apparel;Electronics;Home Appliances;Furnitures;Sports Gears;vehicles, bikes, and other transports","Paying extra fees such as shipping fees, seller fees, and sales tax",Families looking items for children;Sustainability-focused people who are eco-friendly;Work professionals need to clear out unwanted items,3,I’ve always good experiences. sellers are almost always fair with pricing and honest descriptions of the items’ condition. ,
11,18 - 29,Female,1,"Facebook Marketplace, Craigslist, OfferUp, and those that can meet up in-person;Goodwills and other local thrift stores",Clothing and Apparel;Electronics;Furnitures,"Taking photos, uploading them sequentially, writing descriptions, and repeating this tedious process;Paying extra fees such as shipping fees, seller fees, and sales tax",Students who enjoy thrifting;Work professionals need to clear out unwanted items,4,"i dont like to go through uploading, replying and shipping",
